id,date_updated,vehicle_id,vehicle_label,vehicle_current_status,position_latitude,position_longitude,geographic_point,position_speed,position_odometer,trip_schedule_relationship,trip_id,trip_start_date,trip_route_id,alcaldia
0,2021-01-27 18:00:02,170,112,1,19.3174991607666,-99.18779754638672,"19.3174991608,-99.1877975464",16,231,2,0,,367,Coyoacán
1,2021-01-27 18:00:02,177,119,0,19.292600631713867,-99.17749786376952,"19.2926006317,-99.1774978638",13,0,0,9732304,2020-04-28,367,Tlalpan
2,2021-01-27 18:00:02,1286,219,1,19.45009994506836,-99.11009979248048,"19.4500999451,-99.1100997925",5,0,0,9678929,2020-04-28,161,Venustiano Carranza
3,2021-01-27 18:00:02,1302,235,0,19.38920021057129,-99.05979919433594,"19.3892002106,-99.0597991943",4,0,0,9738091,2020-04-28,301,Iztapalapa
4,2021-01-27 18:00:02,361,303,1,19.38260078430176,-99.0613021850586,"19.3826007843,-99.0613021851",0,454,0,9738145,2020-04-28,301,Iztapalapa
5,2021-01-27 18:00:02,370,312,1,19.38990020751953,-99.05889892578124,"19.3899002075,-99.0588989258",0,1790,2,0,,0,Iztapalapa
6,2021-01-27 18:00:02,371,313,0,19.47920036315918,-99.06390380859376,"19.4792003632,-99.0639038086",0,1635,2,0,,0,Gustavo A. Madero
7,2021-01-27 18:00:02,409,351,1,19.40390014648437,-99.17240142822266,"19.4039001465,-99.1724014282",12,131,0,9736261,2020-04-28,301,Cuauhtémoc
8,2021-01-27 18:00:02,449,391,0,19.403499603271484,-99.17040252685548,"19.4034996033,-99.1704025269",5,0,0,9736737,2020-04-28,301,Cuauhtémoc
9,2021-01-27 18:00:02,1,401,1,19.427000045776367,-99.14900207519533,"19.4270000458,-99.1490020752",3,668,0,9685594,2020-04-28,1,Cuauhtémoc
10,2021-01-27 18:00:02,33,433,1,19.491600036621094,-99.15270233154295,"19.4916000366,-99.1527023315",0,213,0,9685029,2020-04-28,1,Gustavo A. Madero
11,2021-01-27 18:00:02,38,438,1,19.420000076293945,-99.1541976928711,"19.4200000763,-99.1541976929",2,0,0,9683873,2020-04-28,1,Cuauhtémoc
12,2021-01-27 18:00:02,39,439,1,19.3971004486084,-99.15589904785156,"19.3971004486,-99.1558990479",0,288,2,0,,0,Benito Juárez
13,2021-01-27 18:00:02,40,440,1,19.404300689697266,-99.15540313720705,"19.4043006897,-99.1554031372",10,308,0,9686124,2020-04-28,1,Cuauhtémoc
14,2021-01-27 18:00:02,53,453,1,19.511999130249023,-99.1604995727539,"19.5119991302,-99.1604995728",13,369,0,9684965,2020-04-28,1,Gustavo A. Madero
15,2021-01-27 18:00:02,1148,462,1,19.51729965209961,-99.1626968383789,"19.5172996521,-99.1626968384",13,295,0,9684625,2020-04-28,1,Gustavo A. Madero
16,2021-01-27 18:00:02,1149,463,1,19.50629997253418,-99.1584014892578,"19.5062999725,-99.1584014893",13,253,0,9684521,2020-04-28,1,Gustavo A. Madero
17,2021-01-27 18:00:02,981,467,1,19.437700271606445,-99.1479034423828,"19.4377002716,-99.1479034424",5,244,0,9685475,2020-04-28,1,Cuauhtémoc
